Subj,Date,Time,Experimenter,Room,Condition,res1_race,res1_name,res1_ver,res1_mancheck,res1_Q1,res1_Q2,res1_Q3,res1_Q4,res1_Q5,res1_Q6,res1_Q7,res1_Q8,res1_Q9,res1_Q10,res1_Q11,res1_Q12,res1_Q13,res2_ver,res2_race,res2_name,res2_mancheck,res2_Q1,res2_Q2,res2_Q3,res2_Q4,res2_Q5,res2_Q6,res2_Q7,res2_Q8,res2_Q9,res2_Q10,res2_Q11,res2_Q12,res2_Q13,hired,hired_race,res1racecheck,res1gendercheck,res2racecheck,res2gendercheck,p_gender1,p_gender1a,p_gender2,p_race_af,p_race_aa,p_race_ha,p_race_an,p_race_pi,p_race_mea,p_race_w,p_race_o,p_race_oa,p_us,p_uslength,Comments,Data Entry Analyst,Date Data Entered,Data Check,Notes
53,3/2/18,16:05,Phillip,F,A,AA,3,B,1,4,5,3,2,6,6,5,4,5,6,6,5,3,A,AF,4,1,4,6,4,4,6,7,5,5,5,6,6,4,4,2,AF,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,21,,Maddie,3/12/18,Prachi,
54,3/2/18,16:35,Phillip,F,C,AA,1,B,1,4,4,4,4,7,4,4,4,4,4,4,4,4,A,AF,1,1,4,4,4,4,7,4,4,4,4,4,4,4,4,0,,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/12/18,Prachi,
55,3/2/18,16:35,Phillip,E,S,AA,3,A,1,5,6,5,6,6,6,4,3,2,5,5,5,2,B,AF,4,1,5,6,5,5,6,5,5,6,6,5,4,5,2,1,AA,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,Checked no to identifying as transgender but also crossed off the third option,Maddie,3/12/18,Prachi,
56,3/2/18,17:35,Phillip,D,A,AF,4,B,1,7,7,7,7,7,7,7,7,7,7,,6,6,A,AA,2,1,7,7,7,,7,7,7,6,6,7,7,6,6,1,AF,1,,2,,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/13/18,Prachi,
57,3/2/18,17:35,Phillip,E,A,AF,2,A,1,6,7,7,7,7,7,7,7,7,7,7,4,3,B,AA,2,1,6,7,7,7,7,7,7,7,7,7,7,4,3,1,AF,1,,2,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
58,3/2/18,17:05,Phillip,F,C,AA,3,A,1,6,6,6,6,6,6,6,4,5,5,5,4,4,B,AF,3,1,6,6,6,6,6,6,5,5,5,5,5,5,5,2,AF,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
59,3/2/18,17:35,Phillip,F,S,AA,4,A,1,4,5,5,5,6,5,4,2,5,4,4,4,4,B,AF,2,1,5,6,5,5,7,6,5,5,6,4,4,4,4,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
60,3/2/18,17:35,Phillip,C,A,AA,4,A,1,5,5,7,7,4,4,4,4,4,6,6,4,4,B,AF,4,1,5,5,4,5,5,4,6,6,6,6,6,6,3,1,AA,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
61,3/5/18,14:40,Avery,F,S,AA,2,B,,6,6,5,7,7,5,6,5,5,6,6,6,3,A,AF,1,,6,6,5,7,7,7,7,7,7,6,7,6,2,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/13/18,Prachi,
62,3/5/18,14:40,Avery,E,S,AF,4,A,1,6,7,6,6,7,7,4,4,4,6,4,4,4,B,AA,2,1,6,7,6,6,6,6,4,4,4,4,4,4,4,2,AA,1,,2,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
63,3/5/18,14:40,Avery,D,C,AF,3,B,1,6,7,5,5,4,5,7,7,7,7,7,5,3,A,AA,2,1,6,7,5,6,6,6,7,7,7,7,7,5,3,1,AF,1,,2,,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
64,3/5/18,14:40,Avery,C,S,AA,2,B,1,5,7,6,6,6,6,6,6,5,4,4,4,4,A,AF,4,1,5,7,6,6,6,6,6,6,6,4,4,4,4,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
65,3/5/18,14:40,Avery,T,C,AF,4,B,1,6,7,7,7,6,7,7,7,7,7,7,6,2,A,AA,2,1,6,7,7,7,7,6,6,4,5,7,7,5,3,1,AF,1,,2,,1,0,2,0,0,0,0,0,0,1,0,0,1,18,Participant worked in cubical,Maddie,3/13/18,Prachi,
66,3/5/18,16:10,Avery,F,C,AF,2,A,1,5,5,4,4,6,6,6,7,7,5,4,4,4,A,AA,1,1,5,4,4,4,6,6,3,3,1,5,4,4,4,2,AA,7,,2,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,Participant asked a lot of questions about debrief in beginning. I looked over packet and the last few pages weren't complete. I asked if they wanted to complete it and they took it back into their room after apologizing for missing those pages. I told them it was ok and then looked over it again when they finished. they then gave very long responses for their debrief.,Maddie,3/13/18,Prachi,"Incorrect packet. Both resumes were version A.; ERROR DISCARD: both resumes same, checking debrief to see if p. noticed, p. noticed, DO NOT INCLUDE"
67,3/5/18,16:40,Avery,E,S,AA,3,B,1,7,7,7,7,6,6,6,6,6,6,6,6,6,A,AF,1,1,7,7,7,7,6,6,6,6,6,6,6,6,6,1,AA,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,20,,Maddie,3/13/18,Prachi,
68,3/5/18,16:40,Avery,D,S,AF,4,B,1,5,7,5,6,5,6,6,6,6,6,6,5,3,A,AA,3,1,7,7,7,7,7,7,4,4,4,5,5,2,6,2,AA,1,,2,,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/13/18,Prachi,
69,3/5/18,17:10,Avery,F,A,AF,4,B,1,5,6,4,5,7,6,4,6,6,5,4,4,4,A,AA,3,1,5,6,4,5,6,6,4,4,4,5,4,4,4,1,AF,1,,2,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,Barely read info statement at beginning,Maddie,3/13/18,Prachi,
70,3/6/18,15:40,Avery,F,A,AA,3,A,1,4,3,4,4,7,7,4,4,4,4,5,4,4,B,AF,1,1,4,5,5,5,7,6,4,4,4,4,4,4,4,2,AF,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/13/18,Prachi,
71,3/6/18,15:40,Avery,E,A,AA,3,A,1,1,2,4,4,7,7,4,4,4,4,4,4,4,B,AF,3,1,1,2,4,4,7,7,4,5,5,4,4,4,4,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,27,,Maddie,3/13/18,Prachi,
72,3/7/18,16:10,Phillip,F,A,AA,1,A,1,4,6,6,6,6,6,6,4,3,4,4,4,5,B,AF,1,1,4,6,6,6,6,6,6,6,6,4,4,5,4,2,AF,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,25,,Maddie,3/13/18,Prachi,
73,3/7/18,16:40,Phillip,E,A,AA,1,A,1,5,7,7,5,6,6,4,4,4,4,4,4,4,B,AF,2,1,5,7,7,6,6,6,5,6,6,4,4,4,4,0,,2,,7,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
74,3/7/18,16:40,Phillip,F,A,AA,4,B,1,5,7,4,5,6,6,5,3,4,6,6,5,5,A,AF,1,1,5,7,6,5,5,6,6,6,6,5,5,5,4,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
75,3/7/18,17:10,Phillip,F,S,AA,3,B,1,5,7,7,7,7,7,4,6,6,4,4,4,4,A,AF,4,1,5,7,7,7,7,7,7,7,7,4,4,4,4,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,20,,Maddie,3/13/18,Prachi,
76,3/7/18,17:10,Phillip,E,A,AA,2,A,1,3,5,4,4,5,4,3,4,3,5,5,4,3,B,AF,2,1,4,5,4,4,5,5,4,4,5,5,5,5,2,2,AF,2,,1,,1,0,2,0,0,0,0,0,1,1,0,0,1,19,Participant identifies as both white and Middle Eastern/Middle Eastern American,Maddie,3/13/18,Prachi,
77,3/8/18,16:05,Phillip,F,C,AF,3,A,1,5,6,5,6,5,6,6,6,6,5,5,6,2,B,AA,4,1,6,6,6,5,5,5,3,3,2,3,5,4,4,2,AA,1,,2,,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/13/18,Prachi,
